Matthew Stevens,matt_the_writer,Mon Nov 02 19:42:17 +0000 2015,"These commercials for @CallofDuty #BlackOps3 make me want a #PS4 sooner rather than later. #firstworldproblems"
Anna Argent,anna_argent,Mon Nov 02 19:41:50 +0000 2015,"Me when my Wi-Fi stops working. #FirstWorldProblems

https://t.co/hoMxNtUWQK"
Alaska✨,britt_terland,Mon Nov 02 19:40:35 +0000 2015,"Hand wrote 5+ pages for my history midterm. I think my hand is going to fall off. #firstworldproblems"
Keirsten Caldwell,keirscaldwell,Mon Nov 02 19:40:29 +0000 2015,"Moving your app icons and forever opening Spotify instead of It Works app. #firstworldproblems"
Lauren Danielle✨,LaurenShwayze,Mon Nov 02 19:39:46 +0000 2015,"My whole life is #firstworldproblems"
tkt boté,jo_lhm,Mon Nov 02 19:39:36 +0000 2015,"#firstworldproblems I know"
M. Santiwagner,miauchelin,Mon Nov 02 19:39:02 +0000 2015,"Ayer me enamoré de un sweater de lana Purificación García. Y ahora no encuentro el modelo en su catalogo. #firstworldproblems"
Matt Nash,Nash2396,Mon Nov 02 19:38:24 +0000 2015,"RT @theBestNash04: You know ur too tall for ur car when u cant finish ur soda because u cant angle it past a certain point #firstworldprobl…"
The Moose,Jamesthecurly1,Mon Nov 02 19:38:20 +0000 2015,"Trying to remove 400 words to get to the limit of an 1000 word essay is just brutal #firstworldproblems"
Holli Roberts,Mcgeeauction,Mon Nov 02 19:37:16 +0000 2015,"Why one the busiest day you have to give the dogs a flea bath? #firstworldproblems #stillneedtogetfoodfortonight"
Stephanie Carvin,StephanieCarvin,Mon Nov 02 19:37:13 +0000 2015,"You know you'll be the worst in your skating class when everyone shows up in a skirt &amp; you're wearing Costco sweatpants. #firstworldproblems"
Jennifer Bracken,bracken_89,Mon Nov 02 19:37:12 +0000 2015,"When your make up is on point but you need to take it off #firstworldproblems #whitegirlproblems"
Marie Troxler,marieEtroxler,Mon Nov 02 19:36:58 +0000 2015,"Can't find my eyebrow pencil. Talk about tragic. #firstworldproblems"
Cole,208NA,Mon Nov 02 19:36:18 +0000 2015,"idk what to caption my selfie smh #firstworldproblems"
Matt,m_harle,Mon Nov 02 19:35:44 +0000 2015,"Bought Amy on BluRay tonight. Only just realised it's in a slim BluRay case. That's just annoying. #FirstWorldProblems"
Don Barreño!,AntonioBN97,Mon Nov 02 19:35:42 +0000 2015,"RT @ZurdoDescalzo: No hace ni 10 minutos que me he afeitao y ya echo de menos mi barbita 😢 #firstworldproblems"
jenna barbiero,Jenbarb93,Mon Nov 02 19:35:28 +0000 2015,"Who knew that finding a curtain rod would be so difficult 😪 #firstworldproblems"
the_antidote,DRMspec,Mon Nov 02 19:35:05 +0000 2015,"Having the ability to create a #firstworldproblems hashtag #firstworldproblems #meta"
Robyn Walter,Goggy29,Mon Nov 02 19:34:40 +0000 2015,"I can only fit 2 pieces of pizza into the microwave at work #firstworldproblems"
ADRiiiii / Waki,ZurdoDescalzo,Mon Nov 02 19:34:05 +0000 2015,"No hace ni 10 minutos que me he afeitao y ya echo de menos mi barbita 😢 #firstworldproblems"
