Mr Divide,MrDivide_,Mon Nov 02 18:50:13 +0000 2015,"@_hologrxphic @Jxery I have £1.20 and I want Jack #firstworldproblems"
PR Juggalo,DaMENACElo37,Mon Nov 02 18:49:32 +0000 2015,"I want an  watch so bad!!! #FirstWorldProblems"
xxxthina,theenuh,Mon Nov 02 18:49:13 +0000 2015,"#firstworldproblems"
CuteCyborgGraphics,aCuteCyborg,Mon Nov 02 18:45:25 +0000 2015,"#Bergstürmer erst 2016 wieder. #firstworldproblems"
Ervin Jeffries,ervyjgaming,Mon Nov 02 18:45:21 +0000 2015,"The only reason I apologized to her was so I could stay on her Netflix.... #firstworldproblems"
That Asian Guy,KimJongBro,Mon Nov 02 18:43:25 +0000 2015,"RT @legallybitchy: Currently have my lid off to cool down my coffee lololol #firstworldproblems  https://t.co/4IE1LJG1RH"
L&O-Sassy Pants Unit,legallybitchy,Mon Nov 02 18:42:09 +0000 2015,"Currently have my lid off to cool down my coffee lololol #firstworldproblems  https://t.co/4IE1LJG1RH"
HispanicAntonioWeiss,BlackCardANON,Mon Nov 02 18:41:59 +0000 2015,"...when your Starbuck's balance is bigger than your Sunpass balance. #FirstWorldProblems https://t.co/1ky6mkE3uU"
g-reg,Gregor__P,Mon Nov 02 18:39:30 +0000 2015,"when your hand is too small for your iPhone 6s #firstworldproblems"
Nick Santos,NickSantos14,Mon Nov 02 18:39:04 +0000 2015,"@JordanPaige42 #firstworldproblems"
Abril,aprilpasu,Mon Nov 02 18:38:47 +0000 2015,"@unicorniodelrey nooooo #firstworldproblems"
Danielle,elleinadspir,Mon Nov 02 18:36:47 +0000 2015,"I hate that with the card reader you have to leave it in until the transaction is 100% complete. #firstworldproblems"
russell,RussellH95,Mon Nov 02 18:36:20 +0000 2015,"Starving but can't think of what I want to eat! #firstworldproblems"
Contes de la beaute,missesnewintown,Mon Nov 02 18:36:11 +0000 2015,"Not a good sign if you need holidays after your holidays #bbloggers #firstworldproblems #Monday"
15.3,KuzmanovicRada,Mon Nov 02 18:36:03 +0000 2015,"RT @ulularecumlupis: imam milion obaveza, ali ne mogu nijednu da završim jer mi se gadi život #firstworldproblems"
Jessica Beth,LivesOfAReader,Mon Nov 02 18:35:37 +0000 2015,"#firstworldproblems"
Martin Bliss,mblissconsult,Mon Nov 02 18:33:46 +0000 2015,"@mhsutton @KentBeck disagree. Humans are quote adaptable and quickly get used to new norms. Thus, #firstworldproblems is no more pleasant"
Melissa✌,M_R_vdL,Mon Nov 02 18:33:01 +0000 2015,"My headphones keep getting caught on my watch, which yanks them out of my ears... #firstworldproblems"
Brittany Kelly,bkelly834,Mon Nov 02 18:32:35 +0000 2015,"RT @Cudlitz: 'night, y'all...... 'nother long day. 'nother early mornin' #FirstWorldProblems 👊👊"
sarah,sarahkarcher16,Mon Nov 02 18:32:04 +0000 2015,"RT @harto: The AppleTV remote is so small!! I always lose it!!! #firstworldproblems"
Kenny @ Papa John's,chessmyantidrug,Mon Nov 02 18:30:50 +0000 2015,"@SUKnives #firstworldproblems"
Devin Dixon ❤,dlane2013,Mon Nov 02 18:30:19 +0000 2015,"RT @Cudlitz: 'night, y'all...... 'nother long day. 'nother early mornin' #FirstWorldProblems 👊👊"
Rafat Sub Laban,RafatSL,Mon Nov 02 18:30:11 +0000 2015,"Headlines you don't get to read everyday... #FirstWorldProblems https://t.co/B49LU43uKK"
.,nachtglitzer,Mon Nov 02 18:29:53 +0000 2015,"Ne Woche Urlaub wär jetzt noch echt cool..natürlich nur wegen meinem Krüppel Fuß...#firstworldproblems"
Zigfrīds Niklavičs,zniklavics,Mon Nov 02 18:29:52 +0000 2015,"Tas moments, kad dzīvoklī ir sākusies cīņa par izdzīvošanu un viens otram p*zģī radiatorus #firstworldproblems #hungergameskvarķiraedition"
Johnny Cabrera,JohnnyCabrera17,Mon Nov 02 18:29:28 +0000 2015,"@JayDimalanta42 #firstworldproblems"
Emily K. Greene,emily_greene5,Mon Nov 02 18:29:20 +0000 2015,"I miss my car. This rental car shiz is for the birds. #FirstWorldProblems"
Mohini ,perpetuals3lf,Mon Nov 02 18:28:50 +0000 2015,"@MJMcLeod64 #firstworldproblems"
Amy Dempster,AmyDempster3,Mon Nov 02 18:28:34 +0000 2015,"@Alexicaseyxo this is the Internet, not really life. But u would never know that #firstworldproblems"
Jess,Jessicapayne777,Mon Nov 02 18:28:18 +0000 2015,"Why am i even at school....i still got booze to drink. #firstworldproblems"
Chad Buck,chadbuck,Mon Nov 02 18:27:52 +0000 2015,"I forgot how boring working in the middle of nowhere is #firstworldproblems"
El Dingo,ElDingoMartin,Mon Nov 02 18:25:13 +0000 2015,"Zurich passport control 45 minutes tonight #firstworldproblems"
Lorenzo,lorenzolite,Mon Nov 02 18:25:08 +0000 2015,"#firstworldproblems"
Victoria VanDevender,turri_x0x0,Mon Nov 02 18:23:06 +0000 2015,"when you wanna wake up your favorite person because you want pizza king.. But know you shouldn't cause they work thirds. #firstworldproblems"
Hannah Gill,HannahGillMUA,Mon Nov 02 18:22:20 +0000 2015,"#firstworldproblems Why is #technopagan always out of stock 😩😩😩"
Poppy Cleary,poppycleary1,Mon Nov 02 18:22:11 +0000 2015,"No idea how to use me MacBook lol #firstworldproblems gunna need to get Sophie to teach meh"
John Sposato,sposato,Mon Nov 02 18:22:11 +0000 2015,"My shows were off last night with the #WorldSeries but it's only fair so Simpsons Treehouse of Horror stays in October. #firstworldproblems"
jessica,jessicarajska,Mon Nov 02 18:21:59 +0000 2015,"When you've used up all your data and leaving the house and the WiFi feels like going back to the stone ages 👎😭 #firstworldproblems"
LaHauser,LaHauser,Mon Nov 02 18:21:58 +0000 2015,"A alguien más se le complica encontrar sus emojis de confianza con el nuevo orden? #firstworldproblems #areadeoportunidad"
Ashley Whipple,CuteasaFoxBlog,Mon Nov 02 18:20:45 +0000 2015,"RT @ourminifamily: Went to @Starbucks to get some tea and they didn't have #RedCups! 😭 #firstworldproblems"
Daniel Gossard,danielspande,Mon Nov 02 18:20:26 +0000 2015,"Also this. Because customized bibles are the key to salvation. #firstworldproblems https://t.co/jSCO9FsbaA"
Louise Ryder,louise__ryder,Mon Nov 02 18:18:08 +0000 2015,"I know I won't stop going on about my broken hand, but imagine you had to do all of your housework one-handed. #firstworldproblems"
Poke Warrior,PokeWarrior,Mon Nov 02 18:17:53 +0000 2015,"@camilluddington Not for people in the UK D': #firstworldproblems"
Kevin Kurbs,KKurbs,Mon Nov 02 18:17:08 +0000 2015,"#firstworldproblems: adjusting to a third monitor at work, and losing track of your mouse."
S. Nichole Davis,sndavis1,Mon Nov 02 18:15:42 +0000 2015,"All of this rain is hindering me from going to @Starbucks to get my first red cup of the season. #FirstWorldProblems #RainRainGoAway"
ilona ▲▲▲,iloonxo,Mon Nov 02 18:15:30 +0000 2015,"Ik moet nieuwe laarzen? Nee hoor, haal wel een paar wollen inlegzolen, hoppa. #firstworldproblems #concerten"
Brian Andrews,TheBransumerist,Mon Nov 02 18:15:29 +0000 2015,"When you get retweeted by a bot... #firstworldproblems"
Ambi Bambi ✈️,LoveBika,Mon Nov 02 18:14:08 +0000 2015,"That moment you make the most amazing pancakes ever but you devour them so quickly you forget to snap them #firstworldproblems"
Our Mini Family,ourminifamily,Mon Nov 02 18:12:57 +0000 2015,"Went to @Starbucks to get some tea and they didn't have #RedCups! 😭 #firstworldproblems"
Spinelli_beastgirl,Demdrian,Mon Nov 02 18:12:32 +0000 2015,"@Cleofelice1 @Lauryn_Socks #firstworldproblems :D"
Liz 8),eliuzmk,Mon Nov 02 18:11:42 +0000 2015,"@Raschgat #firstworldproblems"
Eroico Oboe,eroicoboe,Mon Nov 02 18:11:34 +0000 2015,"New phone obtained, loading apps takes forever. #firstworldproblems BUT, now am able to call her &amp; apologize repeatedly for being a bonehead"
Justito,ReverendJustito,Mon Nov 02 18:11:13 +0000 2015,"I picked the wrong time to print my 12/30 #deadandcompany tickets. #firstworldproblems"
Jenny Phillips,GirlInterupted2,Mon Nov 02 18:09:56 +0000 2015,"When you're sick and in bed all warm and comfy....but you have to pee #firstworldproblems"
Magda,blackdaak,Mon Nov 02 18:08:52 +0000 2015,"Kupiłam w rossmannie szminkę w tym samym kolorze, który mam w domu... #firstworldproblems #brawoja"
Nathyary,NathyaryD,Mon Nov 02 18:08:14 +0000 2015,"The moment you realize you don't have a chipotle button, so you get jelly of your roommate. #firstworldproblems #adulting #StrugglesIsReal"
Becca Roffe,BeccaRoffe,Mon Nov 02 18:07:30 +0000 2015,"Abby is currently using a glue stick to glue her fake nails back on. #firstworldproblems"
